年份对,相似度,可比性
2016-2017,0.842298686504364,0.157701313495636
2017-2018,0.7549033164978027,0.24509668350219727
2018-2019,0.7901144027709961,0.2098855972290039
2019-2020,0.8367016911506653,0.16329830884933472
2020-2021,0.8345768451690674,0.16542315483093262
2021-2022,0.8227198719978333,0.17728012800216675
2022-2023,0.8086102604866028,0.19138973951339722
2023-2024,0.9125228524208069,0.08747714757919312
